SongID,Title,Artist,Genre,Danceability,Valence,Energy
0,1950,King Princess,Pop,0.6,0.269,0.535
1,Achy Breaky Heart,Billy Ray Cyrus,Country,0.8,0.961,0.563
2,American Idiot,Green Day,Rock,0.38,0.769,0.988
3,Bad At Love,Halsey,Pop,0.675,0.612,0.751
4,bad guy,Billie Eilish,Pop,0.701,0.562,0.425
5,Bad Romance,Lady Gaga,Pop,0.696,0.714,0.921
6,Basket Case,Green Day,Rock,0.442,0.781,0.943
7,Bodak Yellow,Cardi B,Hip-Hop,0.926,0.485,0.703
8,Bohemian Rhapsody,Queen,Rock,0.397,0.21,0.386
9,bury a friend,Billie Eilish,Pop,0.905,0.196,0.389
10,cardigan,Taylor Swift,Pop,0.613,0.551,0.581
11,drivers license,Olivia Rodrigo,Pop,0.561,0.137,0.431
12,Enter Sandman,Metallica,Rock,0.579,0.635,0.824
13,Gimme More,Britney Spears,Pop,0.788,0.382,0.844
14,Here Comes The Sun,The Beatles,Rock,0.557,0.394,0.54
15,I Like It,Cardi B,Hip-Hop,0.816,0.65,0.726
16,I Like That,Janelle Monáe,R&B,0.482,0.17,0.453
17,I Will Always Love You,Whitney Houston,R&B,0.332,0.11,0.214
18,I Write Sins Not Tragedies,Panic! At The Disco,Rock,0.569,0.609,0.83
19,Juice,Lizzo,Hip-Hop,0.767,0.843,0.889
20,Love On The Brain,Rihanna,Pop,0.509,0.378,0.637
21,Make Me Feel,Janelle Monáe,R&B,0.859,0.697,0.413
22,Mamma Mia,ABBA,Pop,0.749,0.827,0.748
23,My Love Is Your Love,Whitney Houston,R&B,0.77,0.473,0.475
24,ocean eyes,Billie Eilish,Pop,0.511,0.169,0.363
25,Old Town Road,Lil Nas X,Country,0.878,0.639,0.619
26,Oops!...I Did It Again,Britney Spears,Pop,0.751,0.894,0.834
27,Shape of You,Ed Sheeran,Pop,0.825,0.931,0.652
28,She’s Country,Jason Aldean,Country,0.553,0.638,0.872
29,Sign of the Times,Harry Styles,Pop,0.516,0.222,0.595
30,Smells Like Teen Spirit,Nirvana,Rock,0.502,0.72,0.912
31,Thank God I’m a Country Boy,John Denver,Country,0.762,0.958,0.537
32,"thank u, next",Ariana Grande,Pop,0.717,0.412,0.653
33,Toxic,Britney Spears,Pop,0.774,0.924,0.838
34,Truth Hurts,Lizzo,Hip-Hop,0.715,0.412,0.624
35,Watermelon Sugar,Harry Styles,Pop,0.548,0.557,0.816
36,While My Guitar Gently Weeps,The Beatles,Rock,0.453,0.702,0.654